Gemeentecode;Gemeentenaam;Provincie
0003;Appingedam;Groningen
0005;Bedum;Groningen
0007;Bellingwedde;Groningen
0009;Ten Boer;Groningen
0010;Delfzijl;Groningen
1651;Eemsmond;Groningen
0014;Groningen;Groningen
0015;Grootegast;Groningen
0017;Haren;Groningen
0018;Hoogezand-Sappemeer;Groningen
0022;Leek;Groningen
0024;Loppersum;Groningen
1663;De Marne;Groningen
0025;Marum;Groningen
1987;Menterwolde;Groningen
0765;Pekela;Groningen
1661;Reiderland;Groningen
0039;Scheemda;Groningen
0040;Slochteren;Groningen
0037;Stadskanaal;Groningen
0047;Veendam;Groningen
0048;Vlagtwedde;Groningen
0052;Winschoten;Groningen
0053;Winsum;Groningen
0056;Zuidhorn;Groningen
0059;Achtkarspelen;Friesland
0060;Ameland;Friesland
0063;het Bildt;Friesland
0055;Boarnsterhim;Friesland
0064;Bolsward;Friesland
0065;Dantumadeel;Friesland
0058;Dongeradeel;Friesland
1722;Ferwerderadiel;Friesland
0070;Franekeradeel;Friesland
0653;Gaasterlân-Sleat;Friesland
0072;Harlingen;Friesland
0074;Heerenveen;Friesland
0079;Kollumerland en Nieuwkruisland;Friesland
0080;Leeuwarden;Friesland
0081;Leeuwarderadeel;Friesland
0082;Lemsterland;Friesland
0140;Littenseradiel;Friesland
0083;Menaldumadeel;Friesland
0104;Nijefurd;Friesland
0085;Ooststellingwerf;Friesland
0086;Opsterland;Friesland
0088;Schiermonnikoog;Friesland
0051;Skarsterlân;Friesland
0090;Smallingerland;Friesland
0091;Sneek;Friesland
0093;Terschelling;Friesland
0737;Tytsjerksteradiel;Friesland
0096;Vlieland;Friesland
0098;Weststellingwerf;Friesland
0710;Wûnseradiel;Friesland
0683;Wymbritseradiel;Friesland
1680;Aa en Hunze;Drenthe
0106;Assen;Drenthe
1681;Borger-Odoorn;Drenthe
0109;Coevorden;Drenthe
0114;Emmen;Drenthe
0118;Hoogeveen;Drenthe
0119;Meppel;Drenthe
1731;Midden-Drenthe;Drenthe
1699;Noordenveld;Drenthe
1730;Tynaarlo;Drenthe
1701;Westerveld;Drenthe
1690;De Wolden;Drenthe
0141;Almelo;Overijssel
0147;Borne;Overijssel
0148;Dalfsen;Overijssel
0150;Deventer;Overijssel
1774;Dinkelland;Overijssel
0153;Enschede;Overijssel
0158;Haaksbergen;Overijssel
0160;Hardenberg;Overijssel
0163;Hellendoorn;Overijssel
0164;Hengelo;Overijssel
1735;Hof van Twente;Overijssel
0166;Kampen;Overijssel
0168;Losser;Overijssel
0173;Oldenzaal;Overijssel
1773;Olst-Wijhe;Overijssel
0175;Ommen;Overijssel
0177;Raalte;Overijssel
1742;Rijssen-Holten;Overijssel
0180;Staphorst;Overijssel
1708;Steenwijkerland;Overijssel
0183;Tubbergen;Overijssel
1700;Twenterand;Overijssel
0189;Wierden;Overijssel
1896;Zwartewaterland;Overijssel
0193;Zwolle;Overijssel
0034;Almere;Flevoland
0303;Dronten;Flevoland
0995;Lelystad;Flevoland
0171;Noordoostpolder;Flevoland
0184;Urk;Flevoland
0050;Zeewolde;Flevoland
0197;Aalten;Gelderland
0200;Apeldoorn;Gelderland
0202;Arnhem;Gelderland
0203;Barneveld;Gelderland
1859;Berkelland;Gelderland
0209;Beuningen;Gelderland
1876;Bronckhorst;Gelderland
0213;Brummen;Gelderland
0214;Buren;Gelderland
0216;Culemborg;Gelderland
0221;Doesburg;Gelderland
0222;Doetinchem;Gelderland
0225;Druten;Gelderland
0226;Duiven;Gelderland
0228;Ede;Gelderland
0230;Elburg;Gelderland
0232;Epe;Gelderland
0233;Ermelo;Gelderland
0236;Geldermalsen;Gelderland
0240;Groenlo;Gelderland
0241;Groesbeek;Gelderland
0243;Harderwijk;Gelderland
0244;Hattem;Gelderland
0246;Heerde;Gelderland
0252;Heumen;Gelderland
0733;Lingewaal;Gelderland
1705;Lingewaard;Gelderland
0262;Lochem;Gelderland
0263;Maasdriel;Gelderland
0265;Millingen aan de Rijn;Gelderland
1955;Montferland;Gelderland
1740;Neder-Betuwe;Gelderland
0304;Neerijnen;Gelderland
0267;Nijkerk;Gelderland
0268;Nijmegen;Gelderland
0302;Nunspeet;Gelderland
0269;Oldebroek;Gelderland
1509;Oude IJsselstreek;Gelderland
1734;Overbetuwe;Gelderland
0273;Putten;Gelderland
0274;Renkum;Gelderland
0275;Rheden;Gelderland
0196;Rijnwaarden;Gelderland
0277;Rozendaal;Gelderland
0279;Scherpenzeel;Gelderland
0281;Tiel;Gelderland
0282;Ubbergen;Gelderland
0285;Voorst;Gelderland
0289;Wageningen;Gelderland
0668;West Maas en Waal;Gelderland
0293;Westervoort;Gelderland
0296;Wijchen;Gelderland
0294;Winterswijk;Gelderland
0297;Zaltbommel;Gelderland
0299;Zevenaar;Gelderland
0301;Zutphen;Gelderland
0305;Abcoude;Utrecht
0307;Amersfoort;Utrecht
0308;Baarn;Utrecht
0310;De Bilt;Utrecht
0311;Breukelen;Utrecht
0312;Bunnik;Utrecht
0313;Bunschoten;Utrecht
0317;Eemnes;Utrecht
0321;Houten;Utrecht
0353;IJsselstein;Utrecht
0327;Leusden;Utrecht
0329;Loenen;Utrecht
0331;Lopik;Utrecht
0333;Maarssen;Utrecht
0335;Montfoort;Utrecht
0356;Nieuwegein;Utrecht
0589;Oudewater;Utrecht
0339;Renswoude;Utrecht
0340;Rhenen;Utrecht
0736;De Ronde Venen;Utrecht
0342;Soest;Utrecht
0344;Utrecht;Utrecht
1581;Utrechtse Heuvelrug;Utrecht
0345;Veenendaal;Utrecht
0620;Vianen;Utrecht
0352;Wijk bij Duurstede;Utrecht
0632;Woerden;Utrecht
0351;Woudenberg;Utrecht
0355;Zeist;Utrecht
0358;Aalsmeer;Noord-Holland
0361;Alkmaar;Noord-Holland
0362;Amstelveen;Noord-Holland
0363;Amsterdam;Noord-Holland
0364;Andijk;Noord-Holland
0366;Anna Paulowna;Noord-Holland
0370;Beemster;Noord-Holland
0372;Bennebroek;Noord-Holland
0373;Bergen;Noord-Holland
0375;Beverwijk;Noord-Holland
0376;Blaricum;Noord-Holland
0377;Bloemendaal;Noord-Holland
0381;Bussum;Noord-Holland
0383;Castricum;Noord-Holland
0384;Diemen;Noord-Holland
0498;Drechterland;Noord-Holland
0385;Edam-Volendam;Noord-Holland
0388;Enkhuizen;Noord-Holland
0365;Graft-De Rijp;Noord-Holland
0392;Haarlem;Noord-Holland
0393;Haarlemmerliede en Spaarnwoude;Noord-Holland
0394;Haarlemmermeer;Noord-Holland
0395;Harenkarspel;Noord-Holland
0396;Heemskerk;Noord-Holland
0397;Heemstede;Noord-Holland
0398;Heerhugowaard;Noord-Holland
0399;Heiloo;Noord-Holland
0400;Den Helder;Noord-Holland
0402;Hilversum;Noord-Holland
0405;Hoorn;Noord-Holland
0406;Huizen;Noord-Holland
