Nr.;rwzi_code;rwzi_naam;startdatum;einddatum;inwoners;regio_type;regio_code;regio_naam;aandeel;toelichting;MUN_SHARE;MUN_NAME;MUN_CODE;RWZI_CODE
1;1008;Stadskanaal;01-01-2024;;32010;GM;GM0037;Stadskanaal;1.0;definitief;100.0%;Stadskanaal;GM0037;1008
3;1010;Ter Apel;01-01-2024;;13484;GM;GM1950;Westerwolde;1.0;definitief;100.0%;Westerwolde;GM1950;1010
5;1011;Uithuizermeeden;01-01-2024;;11025;GM;GM1966;Het Hogeland;1.0;definitief;100.0%;Het Hogeland;GM1966;1011
7;1024;Ulrum;01-01-2024;;5116;GM;GM1966;Het Hogeland;1.0;definitief;100.0%;Het Hogeland;GM1966;1024
9;1025;Zuidhorn;01-01-2024;;14657;GM;GM1699;Noordenveld;0.001;definitief;0.1%;Noordenveld;GM1699;1025
10;1025;Zuidhorn;01-01-2024;;14657;GM;GM1969;Westerkwartier;0.999;definitief;99.9%;Westerkwartier;GM1969;1025
13;1026;Hoogezand;01-01-2024;;31271;GM;GM1952;Midden-Groningen;1.0;definitief;100.0%;Midden-Groningen;GM1952;1026
15;1027;Oude Pekela;01-01-2024;;12591;GM;GM0765;Pekela;0.994;definitief;99.4%;Pekela;GM0765;1027
16;1027;Oude Pekela;01-01-2024;;12591;GM;GM1950;Westerwolde;0.006;definitief;0.6%;Westerwolde;GM1950;1027
18;1028;Onderdendam;01-01-2024;;13741;GM;GM1966;Het Hogeland;0.82;definitief;82.0%;Het Hogeland;GM1966;1028
19;1028;Onderdendam;01-01-2024;;13741;GM;GM1979;Eemsdelta;0.18;definitief;18.0%;Eemsdelta;GM1979;1028
21;1029;Leek;01-01-2024;;23173;GM;GM0086;Opsterland;0.01;definitief;1.0%;Opsterland;GM0086;1029
22;1029;Leek;01-01-2024;;23173;GM;GM1699;Noordenveld;0.036;definitief;3.5999999999999996%;Noordenveld;GM1699;1029
23;1029;Leek;01-01-2024;;23173;GM;GM1969;Westerkwartier;0.954;definitief;95.39999999999999%;Westerkwartier;GM1969;1029
27;1030;Winsum;01-01-2024;;15913;GM;GM1966;Het Hogeland;1.0;definitief;100.0%;Het Hogeland;GM1966;1030
29;1031;Gaarkeuken;01-01-2024;;16730;GM;GM0059;Achtkarspelen;0.007;definitief;0.7000000000000001%;Achtkarspelen;GM0059;1031
30;1031;Gaarkeuken;01-01-2024;;16730;GM;GM1969;Westerkwartier;0.993;definitief;99.3%;Westerkwartier;GM1969;1031
31;1031;Gaarkeuken;01-01-2024;;16730;GM;GM1970;Noardeast-Fryslân;0.001;definitief;0.1%;Noardeast-Fryslân;GM1970;1031
34;1032;Marum;01-01-2024;;8008;GM;GM1969;Westerkwartier;1.0;definitief;100.0%;Westerkwartier;GM1969;1032
36;1033;Garmerwolde;01-01-2024;;250541;GM;GM0014;Groningen;0.9646;definitief;96.46000000000001%;Groningen;GM0014;1033
37;1033;Garmerwolde;01-01-2024;;250541;GM;GM1730;Tynaarlo;0.0121;definitief;1.21%;Tynaarlo;GM1730;1033
38;1033;Garmerwolde;01-01-2024;;250541;GM;GM1952;Midden-Groningen;0.0017;definitief;0.16999999999999998%;Midden-Groningen;GM1952;1033
39;1033;Garmerwolde;01-01-2024;;250541;GM;GM1979;Eemsdelta;0.0216;definitief;2.16%;Eemsdelta;GM1979;1033
42;1034;Feerwerd;01-01-2024;;3462;GM;GM1969;Westerkwartier;1.0;definitief;100.0%;Westerkwartier;GM1969;1034
44;1038;Scheve Klap;01-01-2024;;4839;GM;GM1895;Oldambt;0.26;definitief;26.0%;Oldambt;GM1895;1038
45;1038;Scheve Klap;01-01-2024;;4839;GM;GM1979;Eemsdelta;0.74;definitief;74.0%;Eemsdelta;GM1979;1038
47;1039;Scheemda;01-01-2024;;38147;GM;GM1895;Oldambt;1.0;definitief;100.0%;Oldambt;GM1895;1039
49;1040;Vriescheloo;01-01-2024;;6355;GM;GM1950;Westerwolde;1.0;definitief;100.0%;Westerwolde;GM1950;1040
51;1041;Wehe-den Hoorn;01-01-2024;;4913;GM;GM1966;Het Hogeland;1.0;definitief;100.0%;Het Hogeland;GM1966;1041
53;1044;Delfzijl;01-01-2024;;33626;GM;GM1979;Eemsdelta;1.0;definitief;100.0%;Eemsdelta;GM1979;1044
55;1045;Veendam;01-01-2024;;39379;GM;GM0047;Veendam;0.699;definitief;69.89999999999999%;Veendam;GM0047;1045
56;1045;Veendam;01-01-2024;;39379;GM;GM1952;Midden-Groningen;0.301;definitief;30.099999999999998%;Midden-Groningen;GM1952;1045
58;1046;Bellingwolde;01-01-2024;;6546;GM;GM1950;Westerwolde;1.0;definitief;100.0%;Westerwolde;GM1950;1046
60;1335;Particulier;01-01-2024;;78;GM;GM0297;Zaltbommel;1.0;definitief;100.0%;Zaltbommel;GM0297;1335
62;2002;Zuiveringskring Oosterwolde;01-01-2024;;23711;GM;GM0074;Heerenveen;0.001;definitief;0.1%;Heerenveen;GM0074;2002
63;2002;Zuiveringskring Oosterwolde;01-01-2024;;23711;GM;GM0085;Ooststellingwerf;0.989;definitief;98.9%;Ooststellingwerf;GM0085;2002
64;2002;Zuiveringskring Oosterwolde;01-01-2024;;23711;GM;GM0086;Opsterland;0.01;definitief;1.0%;Opsterland;GM0086;2002
66;2011;Zuiveringskring Leeuwarden;01-01-2024;;106285;GM;GM0080;Leeuwarden;0.9988;definitief;99.88%;Leeuwarden;GM0080;2011
